"Character"|"Gender"|"Role"
"Roaar"|"genderless"|"kwami"
"Robostus"|"genderless"|"villain"
"Rocketear"|"male"|"villain"
"Roger"|"male"|""
"Rogercop"|"male"|"villain"
"Rolland"|"male"|""
"Rose"|"female"|""
"Sabine"|"female"|""
"Sabrina"|"female"|""
"Salmon kwami"|"genderless"|"kwami"
"SandBoy"|"male"|"villain"
"Santa Claus"|"male"|""
"Santa Claus Claws"|"male"|"villain"
"Santa Claws"|"male"|"villain"
"Sapoti"|"genderless"|"villain"
"Sass"|"genderless"|"kwami"
"Scarabella"|"female"|""
"Scarlet Moth"|"male"|""
"Sentibubbler"|"male"|""
"Sentimonster"|"genderless"|"Villain"
"Sentimonster Ladybug"|"genderless"|""
"Shadow Moth"|"male"|"villain"
"Shell Shock"|"male"|"villain"
"Silencer"|"male"|"villain"
"Simon Says"|"male"|"villain"
"Simpleman"|"male"|"villain"
"Soldier"|"male"|""
"Sole Crusher"|"female"|"villain"
"Stagehand"|"female"|""
"Startrain"|"female"|"villain"
"Stompp"|"genderless"|"kwami"
"Stoneheart"|"male"|"villain"
"Stormy Weather"|"female"|"villain"
"Strikeback"|"male"|""
"Style Queen"|"female"|"villain"
"Su-Han"|"male"|""
"Syren"|"female"|"villain"
"The Collector"|"male"|"villain"
"The Mime"|"male"|"villain"
"The Pharaoh"|"male"|""
"The Rest of the kwamis"|"genderless"|""
"Théo"|"male"|""
"Thomas"|"male"|""
"Thunderbird kwami"|"genderless"|"kwami"
"Ticket Inspector"|"male"|""
"Tikki"|"genderless"|"kwami"
"Timebreaker"|"female"|"villain"
"Timetagger"|"male"|"villain"
"Tom"|"male"|""
"Tomoe"|"female"|""
"Trixx"|"genderless"|"kwami"
"Troublemaker"|"female"|"villain"
"Truth"|"male"|"villain"
"Unknown"|"genderless"|"villain"
"Vanisher"|"female"|"villain"
"Verity Queen"|"female"|"villain"
"Vesperia"|"female"|""
"Vincent"|"male"|""
"Viperion"|"male"|""
"Volpina"|"female"|"villain"
"Wang Cheng"|"male"|""
"Wang Fu"|"male"|""
"Wayhem"|"male"|""
"Wayzz"|"genderless"|"kwami"
"Weredad"|"male"|"villain"
"Wishmaker"|"male"|"villain"
"Wolf kwami"|"genderless"|"kwami"
"Woodpecker kwami"|"genderless"|"kwami"
"Xuppu"|"genderless"|"kwami"
"XY"|"male"|""
"Ziggy"|"genderless"|"kwami"
"Zoé"|"female"|""
"Zombizou"|"female"|"villain"
